3075	14021	1
555	1252	1
321	9150	1
714	3949	1
2714	15579	1
170	5598	1
1602	11520	1
4840	15086	1
2696	15604	1
3542	8547	1
888	5822	1
10	691	1
3451	18990	1
3078	13044	1
2255	14389	1
560	4835	1
2073	12147	1
6	267	1
2602	7369	1
2175	5153	1
964	838	1
1258	12964	1
345	2716	1
134	4916	1
2362	13953	1
2491	5581	1
1432	15561	1
606	1945	1
1035	962	1
10	807	1
2173	17332	1
5	277	1
887	5539	1
3064	152	1
182	302	1
522	10456	1
843	5602	1
508	10238	1
3395	5558	1
196	1369	1
4511	16704	1
1634	8705	1
1628	492	1
327	893	1
3495	197	1
5104	7438	1
3622	877	1
3487	18557	1
3057	16420	1
1331	4553	1
3570	280	1
2103	14456	1
4334	17556	1
3796	9866	1
4190	14229	1
1849	4467	1
249	384	1
4843	17633	1
327	9446	1
718	1985	1
4671	14609	1
2619	2923	1
2708	14436	1
2903	17897	1
24	1835	1
1162	14862	1
2686	13489	1
421	194	1
1566	1820	1
2710	12324	1
2450	17906	1
3331	3278	1
1266	3499	1
3737	9881	1
3293	8143	1
719	12730	1
4034	4090	1
733	1276	1
557	11761	1
5173	8545	1
64	3246	1
5221	10325	1
13	1164	1
327	9349	1
964	11492	1
227	6817	1
1624	15914	1
143	5167	1
709	8772	1
514	7536	1
134	2709	1
4604	8340	1
1415	4737	1
1459	14708	1
1125	11096	1
1062	9756	1
195	6250	1
2618	14397	1
4982	9183	1
1072	11519	1
1790	1296	1
3243	10839	1
3569	3432	1
2340	2293	1
2659	6629	1
1446	15846	1
2788	1244	1
1889	4468	1
3185	1807	1
3284	17070	1
4349	16459	1
1327	11145	1
4763	17115	1
2647	17396	1
376	10144	1
719	12727	1
91	3904	1
453	3610	1
2314	952	1
5090	16293	1
440	1028	1
299	8799	1
47	2659	1
1246	15176	1
5265	16858	1
719	12517	1
2321	4258	1
5130	7140	1
3989	5283	1
3812	2416	1
719	2435	1
94	518	1
4123	4254	1
344	9654	1
2992	13192	1
4900	18216	1
163	909	1
1832	15121	1
2692	17996	1
2249	15511	1
2726	17364	1
2031	17052	1
600	681	1
2598	6228	1
1376	9100	1
5166	7369	1
1821	16543	1
1950	15434	1
4019	17866	1
3197	7223	1
3054	10869	1
2585	7463	1
5267	8357	1
2053	16629	1
1796	10196	1
4648	18681	1
4872	17407	1
892	4390	1
5142	18495	1
5257	769	1
719	3380	1
1855	11310	1
13	1155	1
4109	16234	1
1142	11488	1
45	2467	1
4853	12190	1
4590	11101	1
3935	1884	1
2079	15362	1
1948	6072	1
365	3456	1
1349	15492	1
10	835	1
65	3464	1
4563	16574	1
34	2252	1
1318	7477	1
1049	5507	1
1862	7605	1
1112	14724	1
1117	2735	1
2445	16245	1
2258	14042	1
458	603	1
372	10097	1
4081	17581	1
4602	13702	1
2764	5236	1
4919	11699	1
865	8024	1
2900	14135	1
3476	2748	1
1279	2323	1
4535	2218	1
1326	9591	1
3804	15551	1
1678	599	1
628	11690	1
4543	11604	1
3926	15792	1
4076	4154	1
3259	7362	1
2598	18014	1
1610	12533	1
3365	13197	1
426	5325	1
3478	13018	1
560	7338	1
423	8477	1
16	1418	1
1961	15552	1
195	3973	1
3318	12205	1
262	1800	1
3377	6198	1
1628	5143	1
1401	9459	1
203	2612	1
225	6711	1
999	12159	1
319	1149	1
1602	83	1
183	5794	1
232	6172	1
4820	413	1
654	12321	1
3455	19060	1
4079	15429	1
865	696	1
561	10605	1
550	1904	1
1054	14520	1
2674	17710	1
2354	1107	1
719	3194	1
4108	6812	1
2224	11162	1
1317	1770	1
1586	16049	1
1993	16959	1
1551	3148	1
5270	14804	1
3781	3267	1
3059	7022	1
4857	14439	1
1724	8824	1
188	6034	1
2321	4714	1
1279	2900	1
2609	824	1
3389	10446	1
2956	17573	1
4523	12908	1
2338	4370	1
248	3007	1
4415	5706	1
2631	6017	1
2134	4505	1
612	874	1
520	11392	1
5048	14398	1
273	8595	1
104	4378	1
2808	17337	1
693	706	1
664	12366	1
4748	4543	1
1154	14807	1
4763	16005	1
751	11844	1
2699	10381	1
2449	8099	1
1844	14740	1
1450	9885	1
4733	9256	1
2776	18709	1
235	1476	1
4887	16978	1
1891	11036	1
1630	6033	1
1432	15808	1
4010	16989	1
496	2488	1
252	6563	1
256	1213	1
10	881	1
975	11937	1
2834	5902	1
66	3524	1
4567	16326	1
4503	18484	1
366	5397	1
4809	7402	1
4105	18574	1
192	2723	1
262	7976	1
1351	15504	1
16	1517	1
816	13164	1
5097	5270	1
2777	761	1
3511	16099	1
1399	15724	1
3197	6262	1
4035	1021	1
1472	2701	1
1997	7709	1
2887	5434	1
1691	7438	1
2542	8216	1
249	6427	1
4417	13160	1
4763	13848	1
3625	16681	1
3421	8357	1
2015	9479	1
1615	1254	1
1802	16421	1
708	6741	1
3763	660	1
3415	8905	1
973	3343	1
3443	7132	1
4909	19193	1
4299	5025	1
2693	7557	1
473	1643	1
1506	301	1
1790	16487	1
299	3199	1
4744	4523	1
2809	3443	1
